game_id,official_id
29600059,1140
29600059,1165
29600059,1153
29600114,1147
29600114,1142
29600114,1202
29600121,1146
29600121,1157
29600121,1177
29600161,1151
29600161,1168
29600188,1186
29600188,1165
29600188,1153
29600213,1167
29600213,1148
29600213,1157
29600248,1176
29600248,1158
29600248,1163
29600365,1363
29600365,1199
29600365,1158
29600689,1163
29600689,1199
29600767,1151
29600767,1164
29600767,1144
29600762,1190
29600762,1145
29600762,1167
49600006,1167
49600006,1144
49600006,1161
49600013,1154
49600013,1199
49600013,1190
49600014,1158
49600014,1197
49600014,1160
49600041,1163
49600041,1190
49600041,1153
49600042,1192
49600042,1167
49600042,1184
49600043,1164
49600043,1153
49600043,1181
49600047,1160
49600047,1190
49600047,1167
49600048,1157
49600048,1142
49600048,1183
49600051,1154
49600051,1195
49600051,1158
49600053,1166
49600053,1155
49600053,1192
49600057,1195
49600057,1158
49600057,1164
49600058,1161
49600058,1174
49600058,1190
49600063,1164
49600063,1166
49600063,1190
49600066,1158
49600066,1192
49600066,1167
49600070,1158
49600070,1192
49600070,1190
49600072,1163
49600072,1183
49600072,1167
49600074,1142
49600074,1164
49600074,1180
49600076,1154
49600076,1190
49600076,1161
49600078,1197
49600078,1166
49600078,1153
49600079,1167
49600079,1190
49600079,1142
49600083,1190
49600083,1183
49600083,1152
49600084,1158
49600084,1192
49600084,1167
49600085,1166
49600085,1153
49600085,1180
49600086,1142
49600086,1161
49600086,1190
49600088,1153
49600088,1192
49600088,1167
29700013,1194
29700013,1150
29700013,1142
29700004,1192
29700004,1157
29700004,1176
29700025,1159
29700025,1142
29700025,1150
29700056,1160
29700056,1140
29700056,1195
29700085,1167
29700085,1194
29700085,1159
29700144,1167
29700144,1184
29700144,1188
29700169,1204
29700169,1166
29700169,1140
29700178,1167
29700178,1194
29700178,1168
29700258,1180
29700258,1174
29700258,1193
29700281,1167
29700281,1151
29700281,1168
29700385,1203
29700385,1148
29700385,1181
29700409,1181
29700409,1185
29700409,1186
29700438,1168
29700438,1150
29700438,1143
29700712,1140
29700712,1161
29700712,1204
29700778,1183
29700778,1185
29700778,1186
29700804,1146
29700804,1192
29700804,1177
29700842,1181
29700842,1193
29700842,1151
29700915,1159
29700915,1195
29700915,1168
29701032,1165
29701032,1179
29701032,1157
29701045,1661
29701045,1186
29701045,1183
29701113,1198
29701113,1163
29701113,1147
29701140,1186
29701140,1181
29701140,1180
29800007,1662
29800007,1203
29800007,1163
29800010,1146
29800010,1165
29800010,1158
29800006,1161
29800006,1159
29800006,1155
29800042,1195
29800042,1204
29800042,1168
29800038,1152
29800038,1185
29800038,1157
29800041,1200
29800041,1661
29800041,1164
29800059,1195
29800059,1163
29800059,1204
29800061,1150
29800061,1162
29800061,1202
29800060,1142
29800060,1155
29800060,1159
29800075,1180
29800075,1160
29800075,1201
29800137,1180
29800137,1201
29800137,1193
29800185,1363
29800185,1200
29800185,1164
29800238,1170
29800238,1157
29800238,1163
29800289,1155
29800289,1142
29800289,1170
29800292,1165
29800292,1195
29800292,1661
29800383,1180
29800383,1830
29800383,1827
29800387,1181
29800387,1198
29800387,1154
29800466,1159
29800466,1203
29800466,1158
29800506,1189
29800506,1203
29800506,1825
29900157,1200
29900157,1363
29900157,1181
29900200,1168
29900200,1155
29900200,1662
29900226,1194
29900226,1204
29900226,1826
29900315,1144
29900315,2001
29900315,1167
29900468,1188
29900468,1828
29900468,1167
29900514,1147
29900514,1180
29900514,1179
29900517,1190
29900517,1202
29900517,1825
29900620,1160
29900620,1165
29900620,1198
29900721,1150
29900721,1151
29900721,1192
29900977,1190
29900977,1188
29900977,1148
29901048,1156
29901048,1176
29901048,1167
29901052,1164
29901052,1144
29901052,1151
29901138,1147
29901138,1179
29901138,1152
29901146,1195
29901146,1828
29901146,1180
29901186,1180
29901186,1195
29901186,1179
20000020,1180
20000020,1181
20000020,1185
20000023,1142
20000023,1193
20000023,1151
20000057,1830
20000057,1199
20000057,1157
20000090,1144
20000090,1201
20000090,1158
20000089,1181
20000089,1185
20000089,1180
20000146,1194
20000146,1165
20000146,1179
20000149,1156
20000149,1144
20000149,1148
20000256,1186
20000256,1165
20000256,1662
20000265,1188
20000265,1154
20000265,1184
20000323,1184
20000323,1830
20000323,1165
20000322,1163
20000322,1148
20000322,1661
20000348,1203
20000348,1179
20000348,1165
20000406,1189
20000406,1148
20000406,1164
20000404,1176
20000404,1186
20000404,1161
20000449,1184
20000449,1167
20000449,1363
20000444,1199
20000444,1143
20000444,1190
20000460,1155
20000460,1159
20000460,1151
20000471,1192
20000471,1166
20000471,2004
20000492,1155
20000492,1151
20000492,1172
20000534,1146
20000534,1168
20000534,1155
20000562,1166
20000562,1143
20000562,1181
20000560,1165
20000560,1189
20000560,1147
20000595,1662
20000595,1142
20000595,1165
20000624,1170
20000624,1148
20000624,1825
20000684,1825
20000684,1146
20000684,1828
20000814,1172
20000814,1166
20000814,1144
20000874,1147
20000874,2004
20000874,1192
20000907,1150
20000907,1170
20000907,1197
20001001,1168
20001001,1204
20001001,1192
20001002,1158
20001002,1203
20001002,1827
20001026,1188
20001026,1176
20001026,1142
20001075,1168
20001075,2004
20001075,1155
20001108,1184
20001108,1182
20001108,1159
20001178,1163
20001178,1148
20001178,1165
40000005,1197
40000005,1194
40000005,1163
40000028,1167
40000028,1163
40000028,1203
40000030,1180
40000030,1162
40000030,1166
20100136,1198
20100136,1144
20100136,1156
20100155,1167
20100155,1146
20100155,2002
20100261,1153
20100261,1165
20100261,1159
20100269,1154
20100269,1168
20100269,1165
20100279,1161
20100279,2003
20100279,1197
20100390,1662
20100390,1167
20100390,1150
20100446,1176
20100446,1198
20100446,1192
20100456,1174
20100456,1144
20100456,1199
20100514,1152
20100514,1195
20100514,1193
20100527,1189
20100527,1188
20100527,1144
20100544,1197
20100544,1363
20100544,1168
20100560,1204
20100560,1826
20100560,1194
20100569,1181
20100569,1161
20100569,1185
20100622,1188
20100622,1197
20100622,1155
20100708,1200
20100708,1162
20100708,2003
20100712,1180
20100712,1826
20100712,1151
20100765,1142
20100765,1148
20100765,1170
20100809,1161
20100809,1195
20100809,1148
20100819,1192
20100819,2004
20100819,1165
20100833,1142
20100833,1156
20100833,1159
20100859,1189
20100859,1151
20100859,1192
20100925,2147
20100925,1180
20100925,1188
20100935,1167
20100935,1170
20100935,1156
20100967,1194
20100967,1164
20100967,1143
20101010,2004
20101010,1197
20101010,1193
20101020,1198
20101020,1146
20101020,1153
20101024,1363
20101024,1168
20101024,1155
20101031,1167
20101031,2004
20101031,1181
20101046,1194
20101046,1201
20101046,1664
20101056,1203
20101056,1154
20101056,1185
20101169,1197
20101169,1176
20101169,1830
20200002,1164
20200002,1176
20200002,1363
20200035,1179
20200035,1185
20200035,1161
20200036,1151
20200036,1199
20200036,2147
20200053,1199
20200053,1194
20200053,1185
20200076,2147
20200076,1153
20200076,1186
20200087,1168
20200087,1147
20200087,1363
20200089,1826
20200089,1185
20200089,1195
20200156,1163
20200156,1830
20200156,1827
20200213,2003
20200213,1147
20200213,1184
20200235,1153
20200235,1194
20200235,2147
20200284,2002
20200284,1180
20200284,1148
20200333,1201
20200333,1827
20200333,1163
20200362,1146
20200362,1830
20200362,1192
20200399,1159
20200399,1168
20200399,1164
20200443,2004
20200443,1161
20200443,1826
20200717,1189
20200717,1192
20200717,1148
20200882,1193
20200882,1166
20200882,1147
20200942,1197
20200942,1188
20200942,2529
20201089,1142
20201089,1147
20201089,1159
20201119,1155
20201119,1151
20201119,1664
20300002,1159
20300002,1167
20300002,1195
20300003,1153
20300003,1189
20300003,1203
20300001,1198
20300001,1192
20300001,1186
20300004,2530
20300004,1155
20300004,1826
20300011,1147
20300011,1664
20300011,1162
20300012,1189
20300012,1156
20300012,1203
20300005,1151
20300005,2002
20300005,1154
20300014,1204
20300014,1363
20300014,1164
20300013,1174
20300013,1161
20300013,1179
20300006,1144
20300006,1193
20300006,1142
20300009,2003
20300009,1168
20300009,1163
20300007,2147
20300007,1190
20300007,1165
20300010,2531
20300010,1180
20300010,1201
20300008,1200
20300008,1148
20300008,2529
20300016,1146
20300016,2534
20300016,1152
20300018,1162
20300018,1664
20300018,1147
20300015,1188
20300015,1176
20300015,1194
20300017,1195
20300017,1167
20300017,1159
20300020,2534
20300020,1152
20300020,1146
20300025,1176
20300025,1662
20300025,1194
20300021,1180
20300021,1830
20300021,1201
20300023,1143
20300023,1168
20300023,1163
20300022,2004
20300022,1155
20300022,1826
20300024,2529
20300024,1200
20300024,1184
20300019,1192
20300019,1186
20300019,2530
20300026,1174
20300026,1161
20300026,1179
20300030,1195
20300030,1167
20300030,2003
20300039,1664
20300039,1147
20300039,1162
20300037,2002
20300037,1185
20300037,1199
20300032,2004
20300032,1192
20300032,1186
20300034,1165
20300034,1190
20300034,2147
20300038,1174
20300038,1161
20300038,1179
20300027,1200
20300027,1148
20300027,1204
20300028,1826
20300028,1155
20300028,1198
20300033,1159
20300033,1150
20300033,1151
20300031,1201
20300031,1180
20300031,2531
20300029,1143
20300029,1163
20300029,1168
20300040,2001
20300040,1154
20300040,1184
20300041,1163
20300041,2147
20300041,1168
20300045,1165
20300045,2003
20300045,1190
20300046,2001
20300046,1154
20300046,1184
20300043,1156
20300043,2529
20300043,1150
20300047,2002
20300047,1185
20300047,1199
20300044,2534
20300044,1146
20300044,1152
20300048,1826
20300048,2531
20300048,1155
20300051,1160
20300051,1143
20300051,1161
20300061,2001
20300061,1154
20300061,1184
20300057,1186
20300057,1192
20300057,2530
20300052,1189
20300052,1156
20300052,1153
20300056,1827
20300056,1164
20300056,1193
20300058,1204
20300058,1142
20300058,1144
20300060,2002
20300060,1199
20300060,1185
20300055,2003
20300055,1152
20300055,1174
20300054,1150
20300054,1169
20300054,1159
20300059,1363
20300059,1200
20300059,1148
20300064,1826
20300064,1180
20300064,1830
20300063,1147
20300063,2005
20300063,1162
20300062,1152
20300062,1174
20300062,2003
