id,start_date,end_date,season_type
41987,1988-04-28,1988-06-21,Playoffs
21988,1988-11-04,1989-04-23,Regular Season
31988,1989-02-12,1989-02-12,All-Star Weekend
41988,1989-04-27,1989-06-13,Playoffs
21989,1989-11-03,1990-04-22,Regular Season
31989,1990-02-11,1990-02-11,All-Star Weekend
41989,1990-04-26,1990-06-14,Playoffs
21990,1990-11-02,1991-04-21,Regular Season
31990,1991-02-10,1991-02-10,All-Star Weekend
41990,1991-04-25,1991-06-12,Playoffs
21991,1991-11-01,1992-04-19,Regular Season
31991,1992-02-09,1992-02-09,All-Star Weekend
41991,1992-04-23,1992-06-14,Playoffs
21992,1992-11-06,1993-04-25,Regular Season
31992,1993-02-21,1993-02-21,All-Star Weekend
41992,1993-04-29,1993-06-20,Playoffs
21993,1993-11-05,1994-04-24,Regular Season
31993,1994-02-13,1994-02-13,All-Star Weekend
21994,1994-11-04,1995-04-23,Regular Season
31994,1995-02-12,1995-02-12,All-Star Weekend
41994,1995-04-27,1995-06-14,Playoffs
21995,1995-11-03,1996-04-21,Regular Season
31995,1996-02-11,1996-02-11,All-Star Weekend
21996,1996-11-01,1997-04-20,Regular Season
31996,1997-02-09,1997-02-09,All-Star Weekend
41996,1997-04-24,1997-06-13,Playoffs
21997,1997-10-31,1998-04-19,Regular Season
31997,1998-02-08,1998-02-08,All-Star Weekend
41997,1998-04-23,1998-06-14,Playoffs
21998,1999-02-05,1999-05-05,Regular Season
41998,1999-05-08,1999-06-25,Playoffs
21999,1999-11-02,2000-04-19,Regular Season
31999,2000-02-13,2000-02-13,All-Star Weekend
22000,2000-10-31,2001-04-18,Regular Season
32000,2001-02-11,2001-02-11,All-Star Weekend
42000,2001-04-21,2001-06-15,Playoffs
22001,2001-10-30,2002-04-17,Regular Season
32001,2002-02-10,2002-02-10,All-Star Weekend
22002,2002-10-29,2003-04-16,Regular Season
32002,2003-02-09,2003-02-09,All-Star Weekend
42002,2003-04-19,2003-06-15,Playoffs
22003,2003-10-28,2004-04-14,Regular Season
32003,2004-02-15,2004-02-15,All-Star Weekend
42003,2004-04-17,2004-06-15,Playoffs
22004,2004-11-02,2005-04-20,Regular Season
32004,2005-02-20,2005-02-20,All-Star Weekend
42004,2005-04-23,2005-06-23,Playoffs
12005,2005-10-10,2005-10-28,Preseason
22005,2005-11-01,2006-04-19,Regular Season
32005,2006-02-19,2006-02-19,All-Star Weekend
12006,2006-10-05,2006-10-27,Preseason
22006,2006-10-31,2007-04-18,Regular Season
32006,2007-02-18,2007-02-18,All-Star Weekend
42006,2007-04-21,2007-06-14,Playoffs
12007,2007-10-06,2007-10-25,Preseason
22007,2007-10-30,2008-04-16,Regular Season
32007,2008-02-17,2008-02-17,All-Star Weekend
